CN,DESCRIPTION,UNITS,CAT,SCAT,R,THETA,Z,SPAN,DPITCH,EGVPITCH
P6342,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,311.61,9.25,100.0,1.4444444444443938,79.50000000000065
P6343,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,341.61,9.25,100.0,68.11111111111106,79.50000000000065
P6344,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,3.36,9.25,100.0,88.94444444444444,42.0
P6400,EGV hub static pressure,PSIA,AERO,PS,11.829227201301022,268.8920658915015,6.487,0.0,91.6,50.0
P6401,EGV hub static pressure,PSIA,AERO,PS,11.856331514427218,271.0689005955625,7.0965,0.0,91.6,50.0
P6402,EGV hub static pressure,PSIA,AERO,PS,11.867762335419428,272.5434685143221,7.706,0.0,91.6,50.0
P6403,EGV hub static pressure,PSIA,AERO,PS,11.866597750408497,273.4594368198502,8.3155,0.0,91.6,50.0
P6404,EGV hub static pressure,PSIA,AERO,PS,11.856050174067247,273.83477625992737,8.925,0.0,91.6,50.0
P6405,EGV hub static pressure,PSIA,AERO,PS,11.829250811864627,262.8918756049426,6.487,0.0,58.3,50.0
P6406,EGV hub static pressure,PSIA,AERO,PS,11.85633459126386,265.069010067444,7.0965,0.0,58.3,50.0
P6407,EGV hub static pressure,PSIA,AERO,PS,11.867718875167208,266.5433970207788,7.706,0.0,58.3,50.0
P6408,EGV hub static pressure,PSIA,AERO,PS,11.866658955662288,267.4592010191098,8.3155,0.0,58.3,50.0
P6409,EGV hub static pressure,PSIA,AERO,PS,11.856033282679329,267.83455518929003,8.925,0.0,58.3,50.0
P6410,EGV hub static pressure,PSIA,AERO,PS,11.829264051918024,256.8918506318151,6.487,0.0,25.0,50.0
P6411,EGV hub static pressure,PSIA,AERO,PS,11.856275524801202,259.0689178477928,7.0965,0.0,25.0,50.0
P6412,EGV hub static pressure,PSIA,AERO,PS,11.867797486054435,260.5432445303654,7.706,0.0,25.0,50.0
P6413,EGV hub static pressure,PSIA,AERO,PS,11.866603208163658,261.45924995137204,8.3155,0.0,25.0,50.0
P6414,EGV hub static pressure,PSIA,AERO,PS,11.85603762350643,261.8344368468196,8.925,0.0,25.0,50.0
P6415,EGV hub static pressure,PSIA,AERO,PS,11.847541797773916,273.6991928342362,9.25,0.0,91.6,50.0
P6416,EGV hub static pressure,PSIA,AERO,PS,11.84751806624493,272.2012022622404,9.25,0.0,83.33,25.0
P6417,EGV hub static pressure,PSIA,AERO,PS,11.84755023200999,270.7030524206161,9.25,0.0,75.0,0.0
P6418,EGV hub static pressure,PSIA,AERO,PS,11.847519246238852,269.20536830200825,9.25,0.0,66.67,75.0
P6419,EGV hub static pressure,PSIA,AERO,PS,11.847564672961274,267.70723600587814,9.25,0.0,58.33,50.0
P6420,EGV hub static pressure,PSIA,AERO,PS,11.8475547055078,266.2092541896003,9.25,0.0,50.0,25.0
P6421,EGV hub static pressure,PSIA,AERO,PS,11.847460452350116,264.71104109670125,9.25,0.0,41.67,0.0
P6422,EGV hub static pressure,PSIA,AERO,PS,11.84748925511224,263.2132303250777,9.25,0.0,33.33,75.0
P6423,EGV hub static pressure,PSIA,AERO,PS,11.847554046722047,261.7150694818378,9.25,0.0,25.0,50.0
P6424,EGV hub static pressure,PSIA,AERO,PS,11.847488041774932,260.21705853174365,9.25,0.0,16.66,25.0
P6425,EGV hub static pressure,PSIA,AERO,PS,11.847513667432503,258.7192399583836,9.25,0.0,8.33,0.0
P6426,EGV hub static pressure,PSIA,AERO,PS,11.847543976706731,257.2208158509859,9.25,0.0,0.0,75.0
P6427,EGV hub static pressure,PSIA,AERO,PS,11.847559387485678,255.72292093606228,9.25,0.0,91.66,50.0
P6428,EGV hub static pressure,PSIA,AERO,PS,11.831232883347363,270.95445220438216,6.4664,0.0,,
P6429,EGV hub static pressure,PSIA,AERO,PS,11.831653122873403,264.9680751132682,6.4664,0.0,,
P6430,EGV hub static pressure,PSIA,AERO,PS,11.831565171185083,258.97523387017674,6.4664,0.0,,
P6431,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,25.11,9.25,0.0,9.777777777777768,4.499999999999993
P6432,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,45.11,9.25,0.0,20.88888888888888,37.83333333333327
P6433,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,64.61,9.25,0.0,29.22222222222221,62.83333333333327
P6434,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,83.61,9.25,0.0,34.77777777777781,79.49999999999994
P6435,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,103.11,9.25,0.0,43.111111111111136,4.499999999999934
P6436,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,122.61,9.25,0.0,51.44444444444447,29.49999999999993
P6437,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,142.11,9.25,0.0,59.777777777777885,54.50000000000017
P6438,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,161.61,9.25,0.0,68.11111111111123,79.50000000000017
P6439,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,181.11,9.25,0.0,76.44444444444454,4.5000000000001705
P6440,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,200.61,9.25,0.0,84.77777777777789,29.50000000000017
P6441,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,238.11,9.25,0.0,93.11111111111124,54.50000000000017
P6442,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,311.61,9.25,0.0,1.4444444444443938,79.50000000000065
P6443,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,341.61,9.25,0.0,68.11111111111106,79.50000000000065
P6444,EGV hub static pressure,PSIA,AERO,PS,12.30186461842269,3.36,9.25,0.0,88.94444444444444,42.0
P7011,Stage exit total pressure,PSIA,AERO,PT,12.27,15.84,9.25,91.99084668192216,58.333333333333336,50.0
P7012,Stage exit total pressure,PSIA,AERO,PT,12.09,15.84,9.25,50.800915331807744,58.333333333333336,50.0
P7013,Stage exit total pressure,PSIA,AERO,PT,11.91,15.84,9.25,9.610983981693336,58.333333333333336,50.0
P7021,Stage exit total pressure,PSIA,AERO,PT,12.27,35.34,9.25,91.99084668192216,66.66666666666666,74.99999999999987
P7022,Stage exit total pressure,PSIA,AERO,PT,12.09,35.34,9.25,50.800915331807744,66.66666666666666,74.99999999999987
P7023,Stage exit total pressure,PSIA,AERO,PT,11.91,35.34,9.25,9.610983981693336,66.66666666666666,74.99999999999987
P7031,Stage exit total pressure,PSIA,AERO,PT,12.27,54.84,9.25,91.99084668192216,75.0,99.99999999999989
P7032,Stage exit total pressure,PSIA,AERO,PT,12.09,54.84,9.25,50.800915331807744,75.0,99.99999999999989
P7033,Stage exit total pressure,PSIA,AERO,PT,11.91,54.84,9.25,9.610983981693336,75.0,99.99999999999989
P7041,Stage exit total pressure,PSIA,AERO,PT,12.27,74.34,9.25,91.99084668192216,83.33333333333334,25.0
P7042,Stage exit total pressure,PSIA,AERO,PT,12.09,74.34,9.25,50.800915331807744,83.33333333333334,25.0
P7043,Stage exit total pressure,PSIA,AERO,PT,11.91,74.34,9.25,9.610983981693336,83.33333333333334,25.0
P7051,Stage exit total pressure,PSIA,AERO,PT,12.27,93.84,9.25,91.99084668192216,91.66666666666666,50.0
P7052,Stage exit total pressure,PSIA,AERO,PT,12.09,93.84,9.25,50.800915331807744,91.66666666666666,50.0
P7053,Stage exit total pressure,PSIA,AERO,PT,11.91,93.84,9.25,9.610983981693336,91.66666666666666,50.0
P7061,Stage exit total pressure,PSIA,AERO,PT,12.27,113.34,9.25,91.99084668192216,0.0,75.0
P7062,Stage exit total pressure,PSIA,AERO,PT,12.09,113.34,9.25,50.800915331807744,0.0,75.0
P7063,Stage exit total pressure,PSIA,AERO,PT,11.91,113.34,9.25,9.610983981693336,0.0,75.0
P7071,Stage exit total pressure,PSIA,AERO,PT,12.27,132.84,9.25,91.99084668192216,8.333333333333332,0.0
P7072,Stage exit total pressure,PSIA,AERO,PT,12.09,132.84,9.25,50.800915331807744,8.333333333333332,0.0
P7073,Stage exit total pressure,PSIA,AERO,PT,11.91,132.84,9.25,9.610983981693336,8.333333333333332,0.0
P7081,Stage exit total pressure,PSIA,AERO,PT,12.27,332.34000000000003,9.25,91.99084668192216,16.66666666666698,25.00000000000095
P7082,Stage exit total pressure,PSIA,AERO,PT,12.09,332.34000000000003,9.25,50.800915331807744,16.66666666666698,25.00000000000095
P7083,Stage exit total pressure,PSIA,AERO,PT,11.91,332.34000000000003,9.25,9.610983981693336,16.66666666666698,25.00000000000095
P7091,Stage exit total pressure,PSIA,AERO,PT,12.27,171.84,9.25,91.99084668192216,25.0,50.0
P7092,Stage exit total pressure,PSIA,AERO,PT,12.09,171.84,9.25,50.800915331807744,25.0,50.0
P7093,Stage exit total pressure,PSIA,AERO,PT,11.91,171.84,9.25,9.610983981693336,25.0,50.0
P7101,Stage exit total pressure,PSIA,AERO,PT,12.27,191.34,9.25,91.99084668192216,33.33333333333333,75.0
P7102,Stage exit total pressure,PSIA,AERO,PT,12.09,191.34,9.25,50.800915331807744,33.33333333333333,75.0
P7103,Stage exit total pressure,PSIA,AERO,PT,11.91,191.34,9.25,9.610983981693336,33.33333333333333,75.0
P7111,Stage exit total pressure,PSIA,AERO,PT,12.27,228.84,9.25,91.99084668192216,41.66666666666667,0.0
P7112,Stage exit total pressure,PSIA,AERO,PT,12.09,228.84,9.25,50.800915331807744,41.66666666666667,0.0
P7113,Stage exit total pressure,PSIA,AERO,PT,11.91,228.84,9.25,9.610983981693336,41.66666666666667,0.0
P7121,Stage exit total pressure,PSIA,AERO,PT,12.27,302.34000000000003,9.25,91.99084668192216,50.00000000000031,25.00000000000095
P7122,Stage exit total pressure,PSIA,AERO,PT,12.09,302.34000000000003,9.25,50.800915331807744,50.00000000000031,25.00000000000095
P7123,Stage exit total pressure,PSIA,AERO,PT,11.91,302.34000000000003,9.25,9.610983981693336,50.00000000000031,25.00000000000095
PBAROM,Barometric pressure,PSIA,AERO,PT,,,,,,
PEV11,Instrumented EGV total pressure (at EGV leading edge),PSIA,AERO,PT,12.180625,,,75.0,,
PEV12,Instrumented EGV total pressure (at EGV leading edge),PSIA,AERO,PT,12.06425,,,50.0,,
PEV13,Instrumented EGV total pressure (at EGV leading edge),PSIA,AERO,PT,11.947875,,,25.0,,
PEV21,Instrumented EGV total pressure (at EGV leading edge),PSIA,AERO,PT,12.180625,,,75.0,,
PEV22,Instrumented EGV total pressure (at EGV leading edge),PSIA,AERO,PT,12.06425,,,50.0,,
PEV23,Instrumented EGV total pressure (at EGV leading edge),PSIA,AERO,PT,11.947875,,,25.0,,
PEV31,Instrumented EGV total pressure (at EGV leading edge),PSIA,AERO,PT,12.180625,,,75.0,,
PEV32,Instrumented EGV total pressure (at EGV leading edge),PSIA,AERO,PT,12.06425,,,50.0,,
PEV33,Instrumented EGV total pressure (at EGV leading edge),PSIA,AERO,PT,11.947875,,,25.0,,
PMV101,Modular vane hub static pressure,PSIA,AERO,PS,9.1,36.0,5.2663,0.0,,
PMV102,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,36.0,5.1964250000000005,12.5,,
PMV103,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,36.0,5.12655,25.0,,
PMV104,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,36.0,5.056675,37.5,,
PMV105,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,36.0,4.986800000000001,50.0,,
PMV106,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,36.0,4.916925,62.5,,
PMV107,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,36.0,4.84705,75.0,,
PMV108,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,36.0,4.777175,87.5,,
PMV109,Modular vane shroud static pressure,PSIA,AERO,PS,9.1,36.0,4.7073,100.0,,
PMV201,Modular vane hub static pressure,PSIA,AERO,PS,9.1,288.0,5.2663,0.0,,
PMV202,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,288.0,5.1964250000000005,12.5,,
PMV203,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,288.0,5.12655,25.0,,
PMV204,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,288.0,5.056675,37.5,,
PMV205,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,288.0,4.986800000000001,50.0,,
PMV206,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,288.0,4.916925,62.5,,
PMV207,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,288.0,4.84705,75.0,,
PMV208,Modular vane rake total pressure (diffuser leading edge),PSIA,AERO,PT,9.1,288.0,4.777175,87.5,,
PMV209,Modular vane shroud static pressure,PSIA,AERO,PS,9.1,288.0,4.7073,100.0,,
PO011,Orifice static pressure 1,,AERO,PS,,,,,,
PO012,Orifice static pressure 2,,AERO,PS,,,,,,
PO013,Orifice differential pressure 1,PSID,AERO,DP,,,,,,
PO014,Orifice differential pressure 2,PSID,AERO,DP,,,,,,
RH0,"Relative humidity, measured at inlet plenum",PCT,AERO,RH,,,,,,
T0001,Plenum total temperature 1,DEG R,AERO,TT,,,,,,
T0002,Plenum total temperature 2,DEG R,AERO,TT,,,,,,
T7011,Rake #1 Temperature Element 1,DEG R,AERO,TT,12.19,15.84,9.25,73.68421052631571,58.333333333333336,50.0
T7012,Rake #1 Temperature Element 2,DEG R,AERO,TT,12.0,15.84,9.25,30.20594965675054,58.333333333333336,50.0
T7021,Rake #2 Temperature Element 1,DEG R,AERO,TT,12.19,35.34,9.25,73.68421052631571,66.66666666666666,74.99999999999987
T7022,Rake #2 Temperature Element 2,DEG R,AERO,TT,12.0,35.34,9.25,30.20594965675054,66.66666666666666,74.99999999999987
T7031,Rake #3 Temperature Element 1,DEG R,AERO,TT,12.19,54.84,9.25,73.68421052631571,75.0,99.99999999999989
T7032,Rake #3 Temperature Element 2,DEG R,AERO,TT,12.0,54.84,9.25,30.20594965675054,75.0,99.99999999999989
T7041,Rake #4 Temperature Element 1,DEG R,AERO,TT,12.19,74.34,9.25,73.68421052631571,83.33333333333334,25.0
T7042,Rake #4 Temperature Element 2,DEG R,AERO,TT,12.0,74.34,9.25,30.20594965675054,83.33333333333334,25.0
T7051,Rake #5 Temperature Element 1,DEG R,AERO,TT,12.19,93.84,9.25,73.68421052631571,91.66666666666666,50.0
T7052,Rake #5 Temperature Element 2,DEG R,AERO,TT,12.0,93.84,9.25,30.20594965675054,91.66666666666666,50.0
T7061,Rake #6 Temperature Element 1,DEG R,AERO,TT,12.19,113.34,9.25,73.68421052631571,0.0,75.0
T7062,Rake #6 Temperature Element 2,DEG R,AERO,TT,12.0,113.34,9.25,30.20594965675054,0.0,75.0
T7071,Rake #7 Temperature Element 1,DEG R,AERO,TT,12.19,132.84,9.25,73.68421052631571,8.333333333333332,0.0
T7072,Rake #7 Temperature Element 2,DEG R,AERO,TT,12.0,132.84,9.25,30.20594965675054,8.333333333333332,0.0
T7081,Rake #8 Temperature Element 1,DEG R,AERO,TT,12.19,332.34000000000003,9.25,73.68421052631571,16.66666666666698,25.00000000000095
T7082,Rake #8 Temperature Element 2,DEG R,AERO,TT,12.0,332.34000000000003,9.25,30.20594965675054,16.66666666666698,25.00000000000095
T7091,Rake #9 Temperature Element 1,DEG R,AERO,TT,12.19,171.84,9.25,73.68421052631571,25.0,50.0
T7092,Rake #9 Temperature Element 2,DEG R,AERO,TT,12.0,171.84,9.25,30.20594965675054,25.0,50.0
T7101,Rake #10 Temperature Element 1,DEG R,AERO,TT,12.19,191.34,9.25,73.68421052631571,33.33333333333333,75.0
T7102,Rake #10 Temperature Element 2,DEG R,AERO,TT,12.0,191.34,9.25,30.20594965675054,33.33333333333333,75.0
T7111,Rake #11 Temperature Element 1,DEG R,AERO,TT,12.19,228.84,9.25,73.68421052631571,41.66666666666667,0.0
T7112,Rake #11 Temperature Element 2,DEG R,AERO,TT,12.0,228.84,9.25,30.20594965675054,41.66666666666667,0.0
T7121,Rake #12 Temperature Element 1,DEG R,AERO,TT,12.19,302.34000000000003,9.25,73.68421052631571,50.00000000000031,25.00000000000095
T7122,Rake #12 Temperature Element 2,DEG R,AERO,TT,12.0,302.34000000000003,9.25,30.20594965675054,50.00000000000031,25.00000000000095
TCEX1,Impeller trailing edge tip clearance,MIL,AERO,TC,,,,,,
TCIN1,Impeller inducer tip clearance,MIL,AERO,TC,,,,,,
TCKN1,Impeller knee tip clearance,MIL,AERO,TC,,,,,,
TM2601,Impeller backface metal temperature,DEG F,AERO,TM,5.521,174.0,,,,
TM2602,Impeller backface metal temperature,DEG F,AERO,TM,7.22,174.0,,,,
TM2701,Impeller backface metal temperature,DEG F,AERO,TM,5.521,354.0,,,,
TM2702,Impeller backface metal temperature,DEG F,AERO,TM,7.22,354.0,,,,
TM4201,Diffuser metal temperature - near throat,DEG F,AERO,TM,,,,,,
TM4202,Diffuser metal temperature - mid chord upstream,DEG F,AERO,TM,,,,,,
TM4203,Diffuser metal temperature - mid chord downstream,DEG F,AERO,TM,,,,,,
TM4204,Diffuser metal temperature - diffuser trailing edge,DEG F,AERO,TM,,,,,,
TMEV1,"EGV metal temperature - hub side, mid chord",DEG F,AERO,TM,,,,,,
TMEX01,External metal temperature - inlet duct,DEG F,AERO,TM,,,,,,
TMEX02,External metal temperature - inducer,DEG F,AERO,TM,,,,,,
TMEX03,External metal temperature - impeller trailing edge,DEG F,AERO,TM,,,,,,
TMEX04,External metal temperature - diffuser passage,DEG F,AERO,TM,,,,,,
TMEX05,External metal temperature - shroud trailing edge,DEG F,AERO,TM,,,,,,
TMEX06,External metal temperature - EGV downstream,DEG F,AERO,TM,,,,,,
TO011,Orifice upstream total temperature 1,DEG R,AERO,TT,,,,,,
TO012,Orifice upstream total temperature 2,DEG R,AERO,TT,,,,,,
A00,Speed of sound at inlet stagnation conditions (station 0),FT/S,CALC,,,,,,,
A03,Speed of sound at diffuser leading edge stagnation conditions (station 3),FT/S,CALC,,,,,,,
A07,Speed of sound at stage exit stagnation conditions (station 7),FT/S,CALC,,,,,,,
AMFAR,Mole fractions of air - argon,,CALC,,,,,,,
AMFCO2,Mole fractions of air - carbon dioxide,,CALC,,,,,,,
AMFH20,Mole fractions of air - water,,CALC,,,,,,,
AMFN2,Mole fractions of air - nitrogen component,,CALC,,,,,,,
AMFO2,Mole fractions of air - oxygen,,CALC,,,,,,,
B2,Impeller exit blade height,IN,CALC,,,,,,,
CFLAG,HECC vaned configuration flag (see read me file for interpretation),,FLAG,,,,,,,
DATE,Date reading was recorded,,CALC,,,,,,,
DATETIME,Python Pandas datetime value,,CALC,,,,,,,
DFLAG,HECC vaned configuration flag (see read me file for interpretation),,FLAG,,,,,,,
ETA30,Impeller isentropic efficiency (measured from vaned diffuser LE),,CALC,,,,,,,
ETA70,Stage isentropic efficiency,,CALC,,,,,,,
ETAPOLY70,Stage polytropic efficiency,,CALC,,,,,,,
GAMMA00,Ratio of specific heats at inlet stagnation conditions (station 0),,CALC,,,,,,,
GAMMA03,Ratio of specific heats at diffuser leading edge stagnation conditions (station 3),,CALC,,,,,,,
GAMMA07,Ratio of specific heats at stage exit stagnation conditions (station 7),,CALC,,,,,,,
H00,Enthalpy at inlet stagnation conditions (station 0),BTU/LBM,CALC,,,,,,,
H03,Enthalpy at diffuser leading edge stagnation conditions (station 3),BTU/LBM,CALC,,,,,,,
H07,Enthalpy at stage exit stagnation conditions (station 7),BTU/LBM,CALC,,,,,,,
M3,Diffuser leading edge Mach number,,CALC,,,,,,,
MACHU2,Machine Mach number,,CALC,,,,,,,
MDOT,Physical mass flow rate,LBM/S,CALC,,,,,,,
MDOTC,Mass flow rate corrected to inlet conditions (station 0),LBM/S,CALC,,,,,,,
MU00,Inlet dynamic viscosity at total conditions (station 0),LBM/FT-S,CALC,,,,,,,
MU03,Dynamic viscosity at diffuser leading edge stagnation conditions (station 3),LBM/FT-S,CALC,,,,,,,
MU07,Viscosity at stage exit stagnation conditions (station 7),LBM/FT-S,CALC,,,,,,,
NC,Compressor shaft percent corrected speed ,RPM,CALC,,,,,,,
NCRPM,Compressor shaft rotational speed corrected to conditions at station 0,RPM,CALC,,,,,,,
P00,Inlet total pressure (station 0),PSIA,CALC,,,,,,,
P03,Diffuser leading edge total pressure,PSIA,CALC,,,,,,,
P03MV1,Modular vane rake total pressure,PSIA,CALC,,,,,,,
P03MV2,Modular vane rake total pressure,PSIA,CALC,,,,,,,
P06,EGV leading edge total pressure,PSIA,CALC,,,,,,,
P07,Stage exit total pressure (station 7) calculated via simple area average,PSIA,CALC,,,,,,,
P07WR,Stage exit total pressure (station 7) calculated with circumferential reconstruction according to Lou et al. (2021),PSIA,CALC,,,,,,,
P3,Diffuser leading edge static pressure,PSIA,CALC,,,,,,,
P3HUB,Diffuser leading edge hub static pressure,PSIA,CALC,,,,,,,
P3SHRD,Diffuser leading edge shroud static pressure,PSIA,CALC,,,,,,,
RDG,Reading number,,CALC,,,,,,,
RH0,Relative humidity at station 0,PCT,CALC,,,,,,,
RHO00,Density at inlet stagnation conditions (station 0),LBM/FT^3,CALC,,,,,,,
RHO03,Density at diffuser leading edge stagnation conditions (station 3),LBM/FT^3,CALC,,,,,,,
RHO07,Density at stage exit stagnation conditions (station 7),LBM/FT^3,CALC,,,,,,,
T00,Inlet total temperature (station 0),DEG R,CALC,,,,,,,
T07,Stage exit total temperature (station 7) calculated via simple area average,DEG R,CALC,,,,,,,
T07WR,Stage exit total temperature (station 7) calculated with circumferential reconstruction according to Lou et al. (2021),DEG R,CALC,,,,,,,
TCEXSET,Intended value for tip clearance based on desired conditions at impeller trailing edge. Details in read-me file.,mil,CALC,,,,,,,
TIME,Time reading was recorded,,CALC,,,,,,,
TPR30,Impeller total pressure ratio (measured from vaned diffuser LE),,CALC,,,,,,,
TPR70,Stage total pressure ratio (P07/P00),,CALC,,,,,,,
TTR30,Impeller total temperature rise ratio (measured from vaned diffuser LE),,CALC,,,,,,,
TTR70,Stage total temperature rise ratio ((T07-T00)/T00),,CALC,,,,,,,
UFLAG,Unsteady data flag (see data flag key file for interpretation),,CALC,,,,,,,
PROBESPAN,"Percent span center of probe head is located across the passage with the hub and shroud corresponding to 0% and 100% span, respectively",PCT,CALC,,,,-1.0,,,
INLETPT,Total pressure calculated from inlet survey 3-hole cobra probe,PSIA,CALC,,,,-1.0,,,
INLETALPHA,Absolute flow angle measured by inlet survey 3-hole cobra probe; positive values correspond to co-swirl,DEG,CALC,,,,-1.0,,,
